id,title,author,genre,tags,img,description,published_year,average_rating,num_pages,price
1,Pride and Prejudice,Jane Austen,Romance Drama Literature Fiction,Classic Courtship Social-Class Marriage Family Prejudice 19th-century England,http://books.google.com/books/content?id=xdySuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In early 19th-century England, the Bennet family faces societal pressures to marry off their five daughters. Elizabeth Bennet, the spirited second daughter, initially clashes with the proud Mr. Darcy. As events unfold, misunderstandings and hasty judgments give way to personal growth, leading Elizabeth and Darcy to recognize their love for each other. The novel delves into themes of love, social class, and the consequences of first impressions.",1994,4.25,299,5.53
2,1984,George Orwell,Dystopian Science-Fiction Fiction Philosophy Crime,Totalitarian dystopia government surveillance propaganda mind control suppress individual freedom Tragedy,http://books.google.com/books/content?id=Ocq6hABFxOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"1984 is a dystopian novella by George Orwell published in 1949, which follows the life of Winston Smith, a low ranking member of ‘the Party’, who is frustrated by the omnipresent eyes of the party, and its ominous ruler Big Brother.
‘Big Brother’ controls every aspect of people’s lives. It has invented the language ‘Newspeak’ in an attempt to completely eliminate political rebellion; created ‘Throughtcrimes’ to stop people even thinking of things considered rebellious. The party controls what people read, speak, say and do with the threat that if they disobey, they will be sent to the dreaded Room 101 as a looming punishment.
Orwell effectively explores the themes of mass media control, government surveillance, totalitarianism and how a dictator can manipulate and control history, thoughts, and lives in such a way that no one can escape it.
The protagonist, Winston Smith, begins a subtle rebellion against the party by keeping a diary of his secret thoughts, which is a deadly thoughtcrime. With his lover Julia, he begins a foreordained fight for freedom and justice, in a world where no one else appears to see, or dislike, the oppression the protagonist opposes.
Perhaps the most powerful, effective and frightening notion of 1984 is that the complete control of an entire nation under a totalitarian state is perfectly possible. If the world fell under the control of one or even multiple dictators, the future could easily become a twisted, cruel world where every movement, word and breath is scrutinised by an omnipotent, omnipresent power that no one can stop, or even oppose without the fear of death.",2003,4.17,339,5.53
3,To Kill a Mockingbird ,Harper Lee,Drama Fiction,Racism Justice Childhood Moral Growth Classic,http://books.google.com/books/content?id=M9lKHhLy1y0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the age of eight, Scout Finch is an entrenched free-thinker. She can accept her father's warning that it is a sin to kill a mockingbird, because mockingbirds harm no one and give great pleasure. The benefits said to be gained from going to school and keeping her temper elude her. The place of this enchanting, intensely moving story is Maycomb, Alabama. The time is the Depression, but Scout and her brother, Jem, are seldom depressed. They have appalling gifts for entertaining themselves—appalling, that is, to almost everyone except their wise lawyer father, Atticus. Atticus is a man of unfaltering good will and humor, and partly because of this, the children become involved in some disturbing adult mysteries: fascinating Boo Radley, who never leaves his house; the terrible temper of Mrs. Dubose down the street; the fine distinctions that make the Finch family ""quality""; the forces that cause the people of Maycomb to show compassion in one crisis and unreasoning cruelty in another. Also because Atticus is what he is, and because he lives where he does, he and his children are plunged into a conflict that indelibly marks their lives—and gives Scout some basis for thinking she knows just about as much about the world as she needs to.",2006,4.27,323,5.53
4,Don Quixote,Miguel de Cervantes Saavedra,Fiction Adventure,Chivalry Madness Adventure Idealism,http://books.google.com/books/content?id=kHq_PcQhhyUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This text is a revised edition of Cervantes' classic tale. Don Quixote has become so entranced by reading romances of chivalry that he determines to become a knight errant and pursue bold adventures, accompanied by his squire, the cunning Sancho Panza.",2003,3.87,1056,5.53
5,The Great Gatsby,F. Scott Fitzgerald,Fiction Drama,Love Wealth American Dream Obsession,http://books.google.com/books/content?id=MXuJwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells the story of a young man, newly rich, who tries to recapture the past and win back his former love, despite the fact that she has married",1925,3.91,182,5.53
6,Jane Eyre,Charlotte Brontë,Romance Drama Fiction,Love Independence Gender Equality Social Class Classic,http://books.google.com/books/content?id=wRYXFHqwW98C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Retells the classic story of an orphaned young woman who accepts employment as a governess and soon finds herself in love with her employer.,2003,4.11,532,5.53
7,The Lord of the Rings,J. R. R. Tolkien,Fantasy Adventure Fiction,Middle-earth One Ring Fellowship Sauron Elves Dwarves Hobbits Orcs Quest Magic,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,"The Lord of the Rings is an epic high fantasy novel by J.R.R. Tolkien, set in the fictional world of Middle-earth. The story follows Frodo Baggins, a hobbit tasked with destroying the One Ring to prevent the Dark Lord Sauron from conquering the world. Joined by a diverse group known as the Fellowship, Frodo embarks on a perilous journey filled with challenges, battles, and moral dilemmas. The narrative explores themes of friendship, courage, and the struggle between good and evil.",1954,4.5,1080,5.53
8,The Catcher in the Rye,J.D. Salinger,Drama Fiction,Adolescence Identity Isolation Mental Health Rebellion,http://books.google.com/books/content?id=ZotvleqZomIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",1991,3.8,234,5.53
9,"The lion, the witch and the wardrobe",Clive Staples Lewis,Fantasy Adventure Fiction,Magic Kingdoms Good vs Evil Talking Animals Childhood,http://books.google.com/books/content?id=FlSpprTpj-QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Narnia: A magical land full of wonder and excitement. A place where you will meet Aslan, the bravest of lions, and a beautiful but wicked Witch. There are lots of other fabulous creatures too: giants and dwarfs and animals that talk. It all begins when four children -- Peter, Susan, Edmund, and Lucy -- discover a strange old wardrobe. Stepping inside, they find that it's stranger still, because behind all the fur coats there is a wondrous land of trees and mountains, all glistening with snow. The White Witch has spread an icy winter everywhere. Only Aslan can defeat her and reverse her wicked spell. The children must find the lion before it is too late. If they fail, the Witch will make them her prisoners forever. In the fifty years since it was written, The Lion, the Witch And the Wardrobe has become one of the great classics of children's literature. Now younger children can share the magical experience, stepping into a world of enchantment that will forever lure them back.",1995,4.21,189,5.53
10,The Little Prince,Antoine de Saint-Exupéry,Fiction Fantasy,Imagination Childhood Wisdom Life Lessons Friendship,https://upload.wikimedia.org/wikipedia/en/0/05/Littleprince.JPG,"The Little Prince is a timeless tale of a prince’s journey from planet to planet in search of adventure. What he finds, however, are interactions with adults who leave him frustrated or dismayed. In the Sahara Desert, he runs into the book’s narrator, and the two start an eight-day journey filled with lessons. Don’t let this book’s size fool you—it’s one of the most compelling short books we’ve ever read. It’s also one of the most widely read classics all over the world. Whether you prefer reading in English, French, or another language, you’re bound to find a copy.",1943,4.3,96,9.19
